"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript React", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 21, 47
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package-lock.json", "JSON", 0, 0, 30381, 0, 0, 0, 0, 0, 0, 1, 30382
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\App.tsx", "TypeScript React", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPrivate.tsx", "TypeScript React", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPublic.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\Header.tsx", "TypeScript React", 0, 0, 0, 55, 0, 0, 0, 0, 0, 3, 58
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\SideBar.tsx", "TypeScript React", 0, 0, 0, 93, 0, 0, 0, 0, 0, 10, 103
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\assets\icons\time_management.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\containers\PageContainer.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\LoginForm.tsx", "TypeScript React", 0, 0, 0, 76, 0, 0, 0, 0, 0, 5, 81
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\RegisterForm.tsx", "TypeScript React", 0, 0, 0, 86, 0, 0, 0, 0, 0, 4, 90
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Checkbox.tsx", "TypeScript React", 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\DateInput.tsx", "TypeScript React", 0, 0, 0, 78, 0, 0, 0, 0, 0, 4, 82
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\EmailInput.tsx", "TypeScript React", 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\InputUtil.tsx", "TypeScript React", 0, 0, 0, 76, 0, 0, 0, 0, 0, 4, 80
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Select.tsx", "TypeScript React", 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 60
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\CustomTable.tsx", "TypeScript React", 0, 0, 0, 104, 0, 0, 0, 0, 0, 8, 112
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Loader.tsx", "TypeScript React", 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Toast.tsx", "TypeScript React", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\timer\TaskTimer.tsx", "TypeScript React", 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\DialogWithClose.tsx", "TypeScript React", 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\lastMonths\WorkingStatistics.tsx", "TypeScript React", 0, 0, 0, 45, 0, 0, 0, 0, 1, 4, 50
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\topProjects\TopProjects.tsx", "TypeScript React", 0, 0, 0, 63, 0, 0, 0, 0, 0, 5, 68
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\api.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\other.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\routes.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\tokenStorage.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-stopwatch.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.tsx", "TypeScript React", 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\Team.tsx", "TypeScript React", 0, 0, 0, 73, 0, 0, 0, 0, 0, 8, 81
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployee.tsx", "TypeScript React", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployeeForm.tsx", "TypeScript React", 0, 0, 0, 74, 0, 0, 0, 0, 0, 6, 80
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberName.tsx", "TypeScript React", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberRole.tsx", "TypeScript React", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\teamInsigths\TeamMemberInsight.tsx", "TypeScript React", 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\BasicInfo.tsx", "TypeScript React", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\TimeInfo.tsx", "TypeScript React", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\index.tsx", "TypeScript React", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\Projects.tsx", "TypeScript React", 0, 0, 0, 94, 0, 0, 0, 0, 0, 10, 104
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectForm.tsx", "TypeScript React", 0, 0, 0, 106, 0, 0, 0, 0, 0, 9, 115
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectModal.tsx", "TypeScript React", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
