"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "TypeScript React", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\README.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 0, 21, 47
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package-lock.json", "JSON", 0, 30346, 0, 0, 0, 0, 0, 0, 0, 1, 30347
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package.json", "JSON", 0, 76, 0, 0, 0, 0, 0, 0, 0, 1, 77
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPrivate.tsx", "TypeScript React", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPublic.tsx", "TypeScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\Header.tsx", "TypeScript React", 0, 0, 0, 0, 0, 59, 0, 0, 0, 3, 62
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\SideBar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 93, 0, 0, 0, 10, 103
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\assets\icons\time_management.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\containers\PageContainer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\LoginForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 76, 0, 0, 0, 5, 81
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\NotificationsForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 70, 0, 0, 0, 3, 73
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\ProfileForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 85, 0, 0, 0, 4, 89
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\RegisterForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 85, 0, 0, 0, 4, 89
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Checkbox.tsx", "TypeScript React", 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\DateInput.tsx", "TypeScript React", 0, 0, 0, 0, 0, 78, 0, 0, 0, 4, 82
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\EmailInput.tsx", "TypeScript React", 0, 0, 0, 0, 0, 48, 0, 0, 0, 6, 54
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\InputUtil.tsx", "TypeScript React", 0, 0, 0, 0, 0, 76, 0, 0, 0, 4, 80
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Select.tsx", "TypeScript React", 0, 0, 0, 0, 0, 57, 0, 0, 0, 5, 62
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\TimeInput.tsx", "TypeScript React", 0, 0, 0, 0, 0, 64, 0, 0, 0, 4, 68
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\CustomTable.tsx", "TypeScript React", 0, 0, 0, 0, 0, 104, 0, 0, 0, 8, 112
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Loader.tsx", "TypeScript React", 0, 0, 0, 0, 0, 46, 0, 0, 0, 6, 52
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Toast.tsx", "TypeScript React", 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\timer\TaskTimer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 53, 0, 0, 0, 8, 61
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\DialogWithClose.tsx", "TypeScript React", 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTimesModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 95, 0, 0, 0, 6, 101
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditUserModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\ImportTaskModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 89, 0, 0, 3, 11, 103
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\lastMonths\WorkingStatistics.tsx", "TypeScript React", 0, 0, 0, 0, 0, 45, 0, 0, 1, 4, 50
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\topProjects\TopProjects.tsx", "TypeScript React", 0, 0, 0, 0, 0, 62, 0, 0, 0, 5, 67
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\api.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\other.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\routes.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\tokenStorage.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-stopwatch.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\Reports.tsx", "TypeScript React", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\Team.tsx", "TypeScript React", 0, 0, 0, 0, 0, 82, 0, 0, 0, 8, 90
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployee.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployeeForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 74, 0, 0, 0, 6, 80
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberName.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberRole.tsx", "TypeScript React", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
