"filename", "language", "TypeScript React", "TypeScript", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\LoginForm.tsx", "TypeScript React", 5, 0, 0, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\PasswordResetForm.tsx", "TypeScript React", 101, 0, 0, 8, 109
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\CustomTable.tsx", "TypeScript React", 2, 0, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTaskModal.tsx", "TypeScript React", 70, 0, 0, 7, 77
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\api.ts", "TypeScript", 0, 9, 0, 0, 9
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\routes.ts", "TypeScript", 0, 2, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-admin.ts", "TypeScript", 0, 8, 0, 1, 9
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\timerReport\components\Filters.tsx", "TypeScript React", -12, 0, 0, 0, -12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\Tasks.tsx", "TypeScript React", 55, 0, 0, -1, 54
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\Assignee.tsx", "TypeScript React", 59, 0, 1, 9, 69
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\Filters.tsx", "TypeScript React", 86, 0, 0, 13, 99
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\TaskName.tsx", "TypeScript React", 16, 0, 0, 3, 19
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\TaskStatus.tsx", "TypeScript React", 39, 0, 0, 5, 44
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\new-task\CreateNewTaskModal.tsx", "TypeScript React", 16, 0, 0, 2, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\new-task\NewTaskForm.tsx", "TypeScript React", 115, 0, 0, 8, 123
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\Project.tsx", "TypeScript React", 16, 0, 0, 1, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectTabs.tsx", "TypeScript React", 2, 0, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\ProjectStatistics.tsx", "TypeScript React", 28, 0, 0, 1, 29
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\ProjectWidget.tsx", "TypeScript React", 66, 0, 0, 2, 68
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\UsersPieChart.tsx", "TypeScript React", 118, 0, 0, 7, 125
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Timer.tsx", "TypeScript React", 10, 0, 1, 1, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\remind-password\RemindPassword.tsx", "TypeScript React", 12, 0, 0, 2, 14
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\remind-password\components\RemindPasswordForm.tsx", "TypeScript React", 76, 0, 0, 6, 82
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\reset-password\ResetPassword.tsx", "TypeScript React", 41, 0, 0, 8, 49
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\MainRouter.tsx", "TypeScript React", 12, 0, 0, 0, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\auth.service.ts", "TypeScript", 0, 13, 0, 6, 19
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\tracking.service.ts", "TypeScript", 0, 8, 0, 2, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\modals\reducer.ts", "TypeScript", 0, 18, 0, 1, 19
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Modal.ts", "TypeScript", 0, 8, 0, 0, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Task.ts", "TypeScript", 0, 8, 0, 2, 10
"Total", "-", 933, 74, 2, 95, 1104
