"filename", "language", "JSON", "JSON with Comments", "TypeScript React", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\jest.config.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package-lock.json", "JSON", 14698, 0, 0, 0, 0, 0, 0, 14698
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\App.tsx", "TypeScript React", 0, 0, 16, 0, 0, 1, 2, 19
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\Header.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\SideBar.tsx", "TypeScript React", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\__tests__\integration\login.test.tsx", "TypeScript React", 0, 0, 76, 0, 0, 2, 4, 82
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\__tests__\unit.test.ts", "TypeScript", 0, 0, 0, 0, 104, 1, 1, 106
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\LoginForm.tsx", "TypeScript React", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\RegisterForm.tsx", "TypeScript React", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\EmailInput.tsx", "TypeScript React", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\InputUtil.tsx", "TypeScript React", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\__tests__\EmailInput.test.tsx", "TypeScript React", 0, 0, 23, 0, 0, 3, 1, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTaskModal.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\lastMonths\WorkingStatistics.tsx", "TypeScript React", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\topProjects\TopProjects.tsx", "TypeScript React", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\api.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\languages.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 2, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\routes.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\tokenStorage.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 3, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-stopwatch.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 4, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\i18n.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.tsx", "TypeScript React", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\locales\EN\translations.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\locales\LT\translations.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\Clients.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 3, 55
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\__tests__\Clients.test.tsx", "TypeScript React", 0, 0, 81, 0, 0, 3, 6, 90
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\components\CreateClientModal.tsx", "TypeScript React", 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\components\DeleteClient.tsx", "TypeScript React", 0, 0, 31, 0, 0, 13, 2, 46
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\components\EditClientModal.tsx", "TypeScript React", 0, 0, 58, 0, 0, 0, 4, 62
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\__tests__\Reports.test.tsx", "TypeScript React", 0, 0, 14, 0, 0, 1, 1, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\__tests__\SystemReport.test.tsx", "TypeScript React", 0, 0, 15, 0, 0, 1, 1, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\SystemReport.tsx", "TypeScript React", 0, 0, 13, 0, 0, 0, 0, 13
