"filename", "language", "JSON", "JSON with Comments", "TypeScript React", "Markdown", "HTML", "JavaScript", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\README.md", "Markdown", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 21, 47
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package-lock.json", "JSON", 45222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45223
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package.json", "JSON", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 92
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\App.tsx", "TypeScript React", 0, 0, 61, 0, 0, 0, 0, 0, 0, 1, 7, 69
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPrivate.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPublic.tsx", "TypeScript React", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\Header.tsx", "TypeScript React", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 3, 82
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\SideBar.tsx", "TypeScript React", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 11, 140
