"filename", "language", "HTML", "JSON with Comments", "TypeScript", "JSON", "TypeScript React", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\index.html", "HTML", 20, 0, 0, 0, 0, 1, 1, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package-lock.json", "JSON", 0, 0, 0, -22195, 0, 0, 0, -22195
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package.json", "JSON", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\index.html", "HTML", -20, 0, 0, 0, 0, 0, -1, -21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\App.tsx", "TypeScript React", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\SideBar.tsx", "TypeScript React", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTaskModal.tsx", "TypeScript React", 0, 0, 0, 0, -1, 0, -1, -2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\other.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-stopwatch.ts", "TypeScript", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\timerReport\TimerReport.tsx", "TypeScript React", 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\timerReport\components\Filters.tsx", "TypeScript React", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\RemoveEmployee.tsx", "TypeScript React", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 0, 0, -9, 0, -1, -10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectModal.tsx", "TypeScript React", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\TotalTacked.tsx", "TypeScript React", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\UsersPieChart.tsx", "TypeScript React", 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Timer.tsx", "TypeScript React", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\store.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\reducer.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\tsconfig.json", "JSON with Comments", 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\vite.config.ts", "TypeScript", 0, 0, 15, 0, 0, 3, 4, 22
"Total", "-", 0, -3, 24, -22193, 4, 4, 2, -22162
