Date : 2022-05-19 23:47:42
Directory : c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend
Total : 174 files,  30491 codes, 64 comments, 805 blanks, all 31360 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     23,207 |          0 |          3 |     23,210 |
| TypeScript React   |        112 |      5,595 |         39 |        516 |      6,150 |
| TypeScript         |         50 |      1,590 |         24 |        260 |      1,874 |
| JSON with Comments |          1 |         26 |          0 |          0 |         26 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         20 |          1 |          1 |         22 |
| JavaScript         |          2 |         18 |          0 |          2 |         20 |
| CSS                |          1 |          8 |          0 |          2 |         10 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                               |        174 |     30,491 |         64 |        805 |     31,360 |
| public                                                                                                                                                          |          1 |         25 |          0 |          1 |         26 |
| src                                                                                                                                                             |        166 |      7,251 |         60 |        776 |      8,087 |
| src\Layouts                                                                                                                                                     |          4 |        240 |          0 |         18 |        258 |
| src\Layouts\navigations                                                                                                                                         |          2 |        215 |          0 |         14 |        229 |
| src\__tests__                                                                                                                                                   |          2 |        180 |          3 |          5 |        188 |
| src\__tests__\integration                                                                                                                                       |          1 |         76 |          2 |          4 |         82 |
| src\assets                                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src\assets\icons                                                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                                                                  |         26 |      1,546 |          7 |        131 |      1,684 |
| src\components\containers                                                                                                                                       |          1 |          9 |          0 |          3 |         12 |
| src\components\forms                                                                                                                                            |          6 |        454 |          0 |         28 |        482 |
| src\components\inputs                                                                                                                                           |          8 |        435 |          3 |         34 |        472 |
| src\components\inputs\__tests__                                                                                                                                 |          1 |         23 |          3 |          1 |         27 |
| src\components\others                                                                                                                                           |          3 |        164 |          0 |         17 |        181 |
| src\components\timer                                                                                                                                            |          1 |         53 |          0 |          8 |         61 |
| src\components\tracking                                                                                                                                         |          5 |        316 |          3 |         31 |        350 |
| src\components\tracking\modals                                                                                                                                  |          5 |        316 |          3 |         31 |        350 |
| src\components\userInsights                                                                                                                                     |          2 |        115 |          1 |         10 |        126 |
| src\components\userInsights\lastMonths                                                                                                                          |          1 |         50 |          1 |          5 |         56 |
| src\components\userInsights\topProjects                                                                                                                         |          1 |         65 |          0 |          5 |         70 |
| src\constants                                                                                                                                                   |          5 |        105 |          0 |         18 |        123 |
| src\hooks                                                                                                                                                       |          2 |         31 |          0 |          7 |         38 |
| src\locales                                                                                                                                                     |          2 |         62 |          0 |          0 |         62 |
| src\locales\EN                                                                                                                                                  |          1 |         31 |          0 |          0 |         31 |
| src\locales\LT                                                                                                                                                  |          1 |         31 |          0 |          0 |         31 |
| src\pages                                                                                                                                                       |         75 |      3,457 |         29 |        331 |      3,817 |
| src\pages\clients                                                                                                                                               |          5 |        257 |         16 |         19 |        292 |
| src\pages\clients\__tests__                                                                                                                                     |          1 |         81 |          3 |          6 |         90 |
| src\pages\clients\components                                                                                                                                    |          3 |        124 |         13 |         10 |        147 |
| src\pages\reports                                                                                                                                               |         10 |        302 |          2 |         28 |        332 |
| src\pages\reports\__tests__                                                                                                                                     |          2 |         29 |          2 |          2 |         33 |
| src\pages\reports\components                                                                                                                                    |          7 |        254 |          0 |         23 |        277 |
| src\pages\reports\components\pages                                                                                                                              |          6 |        225 |          0 |         19 |        244 |
| src\pages\reports\components\pages\systemReport                                                                                                                 |          4 |         91 |          0 |         11 |        102 |
| src\pages\reports\components\pages\systemReport\components                                                                                                      |          3 |         67 |          0 |          9 |         76 |
| src\pages\reports\components\pages\systemReport\components\UserItem                                                                                             |          2 |         51 |          0 |          7 |         58 |
| src\pages\reports\components\pages\systemReport\components\UserItem\components                                                                                  |          1 |         24 |          0 |          3 |         27 |
| src\pages\reports\components\pages\systemReport\components\UsersList                                                                                            |          1 |         16 |          0 |          2 |         18 |
| src\pages\reports\components\pages\timerReport                                                                                                                  |          2 |        134 |          0 |          8 |        142 |
| src\pages\reports\components\pages\timerReport\components                                                                                                       |          1 |         91 |          0 |          5 |         96 |
| src\pages\tasks                                                                                                                                                 |          8 |        532 |          6 |         47 |        585 |
| src\pages\tasks\__tests__                                                                                                                                       |          1 |        115 |          4 |          3 |        122 |
| src\pages\tasks\components                                                                                                                                      |          6 |        331 |          1 |         40 |        372 |
| src\pages\tasks\components\new-task                                                                                                                             |          2 |        131 |          0 |         10 |        141 |
| src\pages\team                                                                                                                                                  |         10 |        352 |          1 |         35 |        388 |
| src\pages\team\components                                                                                                                                       |          9 |        261 |          1 |         27 |        289 |
| src\pages\team\components\dashboard                                                                                                                             |          3 |        101 |          0 |          9 |        110 |
| src\pages\team\components\dashboard\widgets                                                                                                                     |          2 |         74 |          0 |          6 |         80 |
| src\pages\team\components\teamInsigths                                                                                                                          |          1 |          4 |          1 |          0 |          5 |
| src\pages\tracking                                                                                                                                              |         36 |      1,781 |          4 |        172 |      1,957 |
| src\pages\tracking\dashboard                                                                                                                                    |          6 |        114 |          0 |         13 |        127 |
| src\pages\tracking\dashboard\components                                                                                                                         |          5 |         85 |          0 |         10 |         95 |
| src\pages\tracking\dashboard\components\AsignedTasks                                                                                                            |          2 |         62 |          0 |          7 |         69 |
| src\pages\tracking\dashboard\components\AsignedTasks\components                                                                                                 |          1 |         35 |          0 |          5 |         40 |
| src\pages\tracking\dashboard\components\Statistics                                                                                                              |          3 |         23 |          0 |          3 |         26 |
| src\pages\tracking\dashboard\components\Statistics\components                                                                                                   |          2 |         16 |          0 |          2 |         18 |
| src\pages\tracking\project                                                                                                                                      |         24 |      1,323 |          0 |        119 |      1,442 |
| src\pages\tracking\project\__tests__                                                                                                                            |          1 |         59 |          0 |          2 |         61 |
| src\pages\tracking\project\components                                                                                                                           |         22 |      1,170 |          0 |        107 |      1,277 |
| src\pages\tracking\project\components\statistics                                                                                                                |          3 |        217 |          0 |         14 |        231 |
| src\pages\tracking\project\components\statistics\components                                                                                                     |          2 |        186 |          0 |         11 |        197 |
| src\pages\tracking\project\components\tasks                                                                                                                     |          5 |        227 |          0 |         22 |        249 |
| src\pages\tracking\timer                                                                                                                                        |          6 |        344 |          4 |         40 |        388 |
| src\pages\tracking\timer\__tests_                                                                                                                               |          1 |         23 |          1 |          4 |         28 |
| src\pages\tracking\timer\components                                                                                                                             |          2 |        111 |          0 |         14 |        125 |
| src\pages\user                                                                                                                                                  |          6 |        233 |          0 |         30 |        263 |
| src\pages\user\profile                                                                                                                                          |          1 |         41 |          0 |          3 |         44 |
| src\pages\user\remind-password                                                                                                                                  |          2 |         88 |          0 |          8 |         96 |
| src\pages\user\remind-password\components                                                                                                                       |          1 |         76 |          0 |          6 |         82 |
| src\pages\user\reset-password                                                                                                                                   |          1 |         41 |          0 |          8 |         49 |
| src\pages\user\verify-email                                                                                                                                     |          1 |         40 |          0 |          7 |         47 |
